Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_0805_2012Metric,1,green,
R31,R_0805_2012Metric,1,1k,
U5,PLCC-32_11.4x14.0mm_P1.27mm,1,AT29C512-15JC,
R1,R_2512_6332Metric,1,49R9,
C47,C_0805_2012Metric,1,0.1u,
IC3,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
D4,LED_0805_2012Metric,1,green,
R10,R_0805_2012Metric,1,182,
IC7,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
C25,C_0805_2012Metric,1,1u,
IC9,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
C16,C_0805_2012Metric,1,0.1u,
U1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,DRV8837,
R17,R_0805_2012Metric,1,1k,
S5,KSC321JLFS,1,KSC321JLFS,
C3,CP_EIA-7343-31_Kemet-D,1,10u,
IC15,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
D3,LED_0805_2012Metric,1,green,
C44,C_0805_2012Metric,1,0.1u,
C19,C_0805_2012Metric,1,0.1u,
R9,R_0805_2012Metric,1,182,
IC11,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
R14,R_0805_2012Metric,1,182,
TP11,5015 Keystone Electronics,1,TestPoint,
TP9,5015 Keystone Electronics,1,TestPoint,
TP7,5015 Keystone Electronics,1,TestPoint,
R35,R_0805_2012Metric,1,1k,
C59,C_0805_2012Metric,1,0.1u,
C4,C_0805_2012Metric,1,0.1u,
C51,C_0805_2012Metric,1,0.1u,
C54,C_0805_2012Metric,1,0.1u,
TP13,5015 Keystone Electronics,1,TestPoint,
C1,C_0805_2012Metric,1,0.1u,
J1,PinHeader_2x10_P2.54mm_Vertical,1,ESW-110-12-T-D,
R7,R_0805_2012Metric,1,1k,
R29,R_0805_2012Metric,1,1k,
R13,R_0805_2012Metric,1,182,
C12,CP_EIA-7343-31_Kemet-D,1,10u,
R23,R_0805_2012Metric,1,1k,
S3,JS1300,1,JS1300AQ,
R8,R_0805_2012Metric,1,182,
C56,C_0805_2012Metric,1,0.1u,
R16,R_0805_2012Metric,1,1k,
R28,R_0805_2012Metric,1,1k,
R15,R_0805_2012Metric,1,182,
IC2,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
TP5,5015 Keystone Electronics,1,TestPoint,
C61,C_0805_2012Metric,1,0.1u,
IC4,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
C5,C_0805_2012Metric,1,1u,
C41,C_0805_2012Metric,1,0.1u,
C52,C_0805_2012Metric,1,0.1u,
U4,VQFP-100_14x14mm_P0.5mm,1,XC3S50A-4VQG100C,
S1,ES02MSABE,1,ES02MSABE,
C58,C_0805_2012Metric,1,0.1u,
R21,R_0805_2012Metric,1,1k,
C53,C_0805_2012Metric,1,0.1u,
C32,C_0805_2012Metric,1,0.1u,
R24,R_0805_2012Metric,1,1k,
R19,R_0805_2012Metric,1,1k,
R2,R_2512_6332Metric,1,49R9,
IC5,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
R11,R_0805_2012Metric,1,182,
R34,R_0805_2012Metric,1,1k,
TP2,5015 Keystone Electronics,1,TestPoint,
C18,CP_EIA-7343-31_Kemet-D,1,10u,
C22,C_0805_2012Metric,1,0.1u,
C45,C_0805_2012Metric,1,0.1u,
D2,LED_0805_2012Metric,1,green,
C60,C_0805_2012Metric,1,0.1u,
C11,C_0805_2012Metric,1,1u,
C24,C_0805_2012Metric,1,0.1u,
Y1,FNETHE025,1,FNETHE025,
R27,R_0805_2012Metric,1,1k,
C50,C_0805_2012Metric,1,0.1u,
R26,R_0805_2012Metric,1,1k,
IC14,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
U6,THB001P,1,THB001P,
C67,C_0805_2012Metric,1,0.1u,
R20,R_0805_2012Metric,1,1k,
C40,C_0805_2012Metric,1,0.1u,
R22,R_0805_2012Metric,1,1k,
C42,C_0805_2012Metric,1,0.1u,
S4,JS1300,1,JS1300AQ,
TP14,5015 Keystone Electronics,1,TestPoint,
R25,R_0805_2012Metric,1,1k,
R33,R_0805_2012Metric,1,1k,
TP12,5015 Keystone Electronics,1,TestPoint,
C63,C_0805_2012Metric,1,0.1u,
C46,C_0805_2012Metric,1,0.1u,
C62,C_0805_2012Metric,1,0.1u,
IC12,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
U7,THB001P,1,THB001P,
IC8,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
S2,KSC321JLFS,1,KSC321JLFS,
R12,R_0805_2012Metric,1,182,
R18,R_0805_2012Metric,1,1k,
TP4,5015 Keystone Electronics,1,TestPoint,
C66,C_0805_2012Metric,1,0.1u,
TP3,5015 Keystone Electronics,1,TestPoint,
C57,C_0805_2012Metric,1,0.1u,
C64,C_0805_2012Metric,1,0.1u,
TP1,5015 Keystone Electronics,1,TestPoint,
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,DRV8837,
C49,C_0805_2012Metric,1,0.1u,
R36,R_0805_2012Metric,1,1k,
C10,C_0805_2012Metric,1,0.1u,
C23,C_0805_2012Metric,1,0.1u,
C68,C_0805_2012Metric,1,0.1u,
IC6,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
C17,C_0805_2012Metric,1,1u,
TP10,5015 Keystone Electronics,1,TestPoint,
C2,C_0805_2012Metric,1,1u,
C48,C_0805_2012Metric,1,0.1u,
R30,R_0805_2012Metric,1,1k,
IC10,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
TP8,5015 Keystone Electronics,1,TestPoint,
C6,CP_EIA-7343-31_Kemet-D,1,10u,
TP6,5015 Keystone Electronics,1,TestPoint,
C55,C_0805_2012Metric,1,0.1u,
C26,CP_EIA-7343-31_Kemet-D,1,10u,
C13,C_0805_2012Metric,1,0.1u,
C31,CP_EIA-7343-31_Kemet-D,1,10u,
C39,C_0805_2012Metric,1,0.1u,
C37,C_0805_2012Metric,1,0.1u,
R3,R_0805_2012Metric,1,182,
C9,CP_EIA-7343-31_Kemet-D,1,10u,
R6,R_0805_2012Metric,1,182,
C8,C_0805_2012Metric,1,1u,
C28,C_0805_2012Metric,1,0.1u,
C27,C_0805_2012Metric,1,0.1u,
IC13,SOT65P210X110-5N,1,SN74AHC1G14DCKR,
C36,C_0805_2012Metric,1,0.1u,
C14,C_0805_2012Metric,1,1u,
C65,C_0805_2012Metric,1,0.1u,
IC1,TO228P1042X238-3N,1,LP38690DT-3.3,
C21,CP_EIA-7343-31_Kemet-D,1,10u,
C7,C_0805_2012Metric,1,0.1u,
C29,C_0805_2012Metric,1,0.1u,
C69,C_0805_2012Metric,1,0.1u,
C35,C_0805_2012Metric,1,0.1u,
C34,C_0805_2012Metric,1,0.1u,
U3,TO-263-3_TabPin2,1,MIC39300-2.5BU,
C30,C_0805_2012Metric,1,0.1u,
C38,C_0805_2012Metric,1,0.1u,
C20,C_0805_2012Metric,1,1u,
C33,C_0805_2012Metric,1,0.1u,
C15,CP_EIA-7343-31_Kemet-D,1,10u,
R4,R_0805_2012Metric,1,182,
R5,R_0805_2012Metric,1,182,
AC1,QFN50P400X400X185-25N-D,1,IIS328DQTR,
C43,CP_EIA-7343-31_Kemet-D,1,10u,
R32,R_0805_2012Metric,1,1k,
