Designator,Mid X,Mid Y,Rotation,Layer
D1,172.9486,-84.5058,180.0,top
R31,181.6354,-54.2036,0.0,top
U5,129.8194,-94.0562,0.0,top
R1,134.493,-70.6374,180.0,top
C47,274.6756,-80.7086,0.0,top
IC3,270.3256,-67.6336,0.0,top
D4,172.9486,-90.8812,0.0,top
R10,282.0456,-98.2086,0.0,top
IC7,274.9756,-67.6336,0.0,top
C25,128.8796,-84.0486,90.0,top
IC9,284.2756,-60.2336,0.0,top
C16,159.1056,-68.7324,180.0,top
U1,85.6234,-86.487,0.0,top
R17,283.5556,-76.2886,0.0,top
S5,127.61,-63.38,180.0,top
C3,85.7758,-78.4352,90.0,top
IC15,120.7516,-65.2018,-90.0,top
D3,172.9509,-88.7984,0.0,top
C44,274.6756,-77.6986,0.0,top
C19,113.8936,-92.2782,0.0,top
R9,286.4556,-92.3086,0.0,top
IC11,270.3256,-60.2336,0.0,top
R14,282.0456,-95.2586,0.0,top
TP11,330.0106,-59.7836,0.0,top
TP9,312.2506,-59.7836,0.0,top
TP7,321.1306,-59.7836,0.0,top
R35,188.6966,-64.135,0.0,top
C59,279.3256,-70.9886,0.0,top
C4,191.6328,-83.9724,180.0,top
C51,283.9756,-67.2886,0.0,top
C54,293.0756,-62.8986,0.0,top
TP13,321.1306,-65.3836,0.0,top
C1,87.8078,-84.0994,0.0,top
J1,305.1556,-60.7086,0.0,top
R7,148.3614,-70.5104,-90.0,top
R29,114.3,-60.579,0.0,top
R13,286.4556,-89.3586,0.0,top
C12,127.1524,-76.708,-90.0,top
R23,288.2056,-73.2186,0.0,top
S3,117.83,-76.84,0.0,top
R8,282.0456,-89.3586,0.0,top
C56,288.8256,-59.8886,0.0,top
R16,283.5556,-79.2386,0.0,top
R28,98.5266,-51.9684,90.0,top
R15,290.8656,-89.3586,0.0,top
IC2,151.4094,-70.4342,0.0,top
TP5,316.6906,-62.5836,0.0,top
C61,270.2256,-77.6986,0.0,top
IC4,279.6256,-63.9336,0.0,top
C5,195.1888,-83.9978,0.0,top
C41,147.9042,-84.4296,0.0,top
C52,274.6756,-74.6886,0.0,top
U4,148.7932,-94.3356,0.0,top
S1,140.05,-60.69,0.0,top
C58,270.2256,-74.6886,0.0,top
R21,279.1056,-79.9886,0.0,top
C53,270.2256,-80.7086,0.0,top
C32,140.9446,-73.8124,180.0,top
R24,279.1056,-82.9386,0.0,top
R19,292.8556,-66.5686,0.0,top
R2,142.8496,-70.5866,0.0,top
IC5,279.6256,-60.2336,0.0,top
R11,282.0456,-92.3086,0.0,top
R34,181.6354,-52.1208,0.0,top
TP2,325.5706,-59.7836,0.0,top
C18,161.3916,-62.3062,90.0,top
C22,147.32,-73.6346,180.0,top
C45,274.8756,-70.9886,0.0,top
D2,172.9486,-86.614,0.0,top
C60,283.7756,-73.3086,0.0,top
C11,127.0762,-70.9168,180.0,top
C24,131.0894,-84.074,90.0,top
Y1,140.6144,-79.5528,-90.0,top
R27,114.2727,-58.3946,0.0,top
C50,283.7756,-70.2986,0.0,top
R26,104.0892,-80.6704,-90.0,top
IC14,270.3256,-89.7336,0.0,top
U6,101.07,-65.54,0.0,top
C67,270.2256,-96.0986,0.0,top
R20,297.2656,-65.8786,0.0,top
C40,141.478,-104.3178,180.0,top
R22,288.2056,-70.2686,0.0,top
C42,158.6484,-97.4344,90.0,top
S4,161.093,-76.84,0.0,top
TP14,316.6906,-65.3836,0.0,top
R25,292.6156,-69.5786,0.0,top
R33,172.6946,-54.2544,90.0,top
TP12,312.2506,-65.3836,0.0,top
C63,279.5256,-67.2886,0.0,top
C46,279.1256,-77.0086,0.0,top
C62,284.1756,-63.5886,0.0,top
IC12,270.3256,-63.9336,0.0,top
U7,175.37,-67.19,0.0,top
IC8,270.3256,-71.3336,0.0,top
S2,152.76,-63.38,0.0,top
R12,286.4556,-95.2586,0.0,top
R18,297.5056,-62.8686,0.0,top
TP4,330.0106,-62.5836,0.0,top
C66,270.2256,-93.0886,0.0,top
TP3,305.0506,-87.2836,0.0,top
C57,293.2756,-59.8886,0.0,top
C64,105.156,-83.6422,0.0,top
TP1,316.6906,-59.7836,0.0,top
U2,193.421,-86.36,0.0,top
C49,288.6256,-63.5886,0.0,top
R36,123.2662,-68.8848,180.0,top
C10,127.0762,-68.8086,180.0,top
C23,155.1178,-70.0532,0.0,top
C68,119.6086,-68.961,180.0,top
IC6,274.9756,-60.2336,0.0,top
C17,162.687,-68.7578,0.0,top
TP10,312.2506,-62.5836,0.0,top
C2,83.5152,-84.0994,180.0,top
C48,279.1256,-73.9986,0.0,top
R30,113.8174,-63.4492,0.0,top
IC10,274.9756,-63.9336,0.0,top
TP8,325.5706,-62.5836,0.0,top
C6,193.5226,-78.4606,90.0,top
TP6,321.1306,-62.5836,0.0,top
C55,288.4256,-66.5986,0.0,top
C26,127.635,-84.1502,90.0,bottom
C13,154.559,-65.7352,180.0,bottom
C31,144.7038,-92.9386,90.0,bottom
C39,139.0142,-97.8662,90.0,bottom
C37,153.2636,-102.1588,0.0,bottom
R3,172.9505,-84.5312,180.0,bottom
C9,134.1882,-73.533,0.0,bottom
R6,173.1029,-91.0336,180.0,bottom
C8,131.4958,-69.9516,0.0,bottom
C28,149.7838,-102.1588,0.0,bottom
C27,141.0716,-95.6564,90.0,bottom
IC13,105.1052,-86.8934,-90.0,bottom
C36,156.3624,-97.4344,90.0,bottom
C14,150.3426,-68.1228,180.0,bottom
C65,102.7938,-86.9188,90.0,bottom
IC1,122.2756,-70.5866,-90.0,bottom
C21,106.3498,-91.4654,0.0,bottom
C7,128.6002,-75.7174,-90.0,bottom
C29,156.5402,-93.7006,-90.0,bottom
C69,122.0216,-64.3636,90.0,bottom
C35,152.9842,-85.344,180.0,bottom
C34,147.9042,-86.5886,0.0,bottom
U3,157.842,-75.2768,-90.0,bottom
C30,152.5524,-87.8332,0.0,bottom
C38,141.5796,-102.108,180.0,bottom
C20,118.3386,-92.8116,-90.0,bottom
C33,154.3558,-91.8972,90.0,bottom
C15,147.5232,-71.628,180.0,bottom
R4,173.0521,-86.7664,180.0,bottom
R5,173.0521,-88.9,180.0,bottom
AC1,114.6302,-91.8972,180.0,bottom
C43,150.4442,-94.615,90.0,bottom
R32,171.2468,-80.7212,180.0,bottom
